dataset,model,run,mean,rmse,nll_default,nll_mean,train_time,total_time
bikesharing,linear,0,-0.004832682199776173,0.7796253561973572,,1.1699968084456829,0.0040931059047579765,0.004261616850271821
bikesharing,linear,1,-0.004832682199776173,0.7796253561973572,,1.1699968084456829,0.003264223923906684,0.003389274002984166
bikesharing,linear,2,-0.004832682199776173,0.7796253561973572,,1.1699968084456829,0.0032142431009560823,0.003331033978611231
bikesharing,linear,3,-0.004832682199776173,0.7796253561973572,,1.1699968084456829,0.0030762520618736744,0.0031905020587146282
bikesharing,linear,4,-0.004832682199776173,0.7796253561973572,,1.1699968084456829,0.0031367831397801638,0.003270103130489588
bikesharing,rf,0,0.008463977446744275,0.24390143318015778,,0.007947435524553865,6.656353182857856,6.912531079025939
bikesharing,rf,1,0.008231619449641805,0.2442420661820377,,0.009343062251590813,6.539987136842683,6.776342433877289
bikesharing,rf,2,0.00845729936929029,0.24414635600944112,,0.008951119406621898,6.488965741824359,6.713533791946247
bikesharing,rf,3,0.008404887993126353,0.24371000487877315,,0.007162268088855181,6.454732496058568,6.69195738597773
bikesharing,rf,4,0.008509654838395837,0.2441674337849173,,0.009037448221944237,6.7138176639564335,6.937866900814697
bikesharing,xgb,0,0.003907264210283756,0.21255238354206085,,-0.12962830094850564,1.888697565998882,1.9103130029980093
bikesharing,xgb,1,0.004536446183919907,0.2149563878774643,,-0.11838155956670073,1.8740279572084546,1.8959111450240016
bikesharing,xgb,2,0.005049172323197126,0.21434493362903595,,-0.12123022876834355,1.866137705044821,1.8881289230193943
bikesharing,xgb,3,0.004511703737080097,0.21440154314041138,,-0.12096610911326024,1.8733400038909167,1.8952515120618045
bikesharing,xgb,4,0.0038123256526887417,0.21523365378379822,,-0.1170925506234463,1.879036877071485,1.900806413963437
bikesharing,catboost,0,0.004619333943062085,0.2680198642726166,-0.34613907869983823,0.10224435240682078,2.538466047961265,2.5503986759576946
bikesharing,catboost,1,0.005727425136831444,0.2658139198704136,-0.3933279987534525,0.09397976884606163,2.4671889231540263,2.4782771770842373
bikesharing,catboost,2,0.005627447643916454,0.26212927405340924,-0.3983783371605839,0.08002104871334477,2.537777554942295,2.549907313892618
bikesharing,catboost,3,0.004927339279359575,0.2654691098903192,-0.35504340432577497,0.0926817412065823,2.525887517957017,2.538700280012563
bikesharing,catboost,4,0.005519914191571651,0.2647938074909066,-0.3754421024705321,0.09013469240358236,2.4876008050050586,2.5010086179245263
bikesharing,tabpfn,0,0.006880713161081076,0.21183185279369354,-0.6756947636604309,-0.13302392090328602,1.484924077987671,1254.54619117314
bikesharing,tabpfn,1,0.0017722923075780272,0.2098395973443985,-0.6844559907913208,-0.1424733071067584,1.4006759659387171,1241.1868528570049
bikesharing,tabpfn,2,0.00220017833635211,0.21031294763088226,-0.6858862042427063,-0.1402201080845785,1.4054003460332751,1245.587150381878
bikesharing,tabpfn,3,0.0028197099454700947,0.20964595675468445,-0.6913630962371826,-0.14339654962211126,1.4196693738922477,1241.3959650138859
bikesharing,tabpfn,4,0.002299908082932234,0.2101518213748932,-0.6904309391975403,-0.14098649027213486,1.4268062489572912,1247.2191494219005
